,FRA,FRA
hours,wind (won),solar (solEB)
230,0.137439024,0.158863636
231,0.152317073,0.133295455
232,0.161585366,0.09625
233,0.167256098,0.045340909
234,0.186341463,0.006022727
235,0.214878049,0
236,0.21445122,0
237,0.22402439,0
238,0.236158537,0
239,0.250609756,0
240,0.256280488,0
241,0.257987805,0
242,0.262560976,0
243,0.274146341,0
244,0.277256098,0
245,0.284634146,0
246,0.279817073,0
247,0.272073171,0
248,0.2575,0
249,0.236463415,0.000113636
250,0.207317073,0.030340909
251,0.175853659,0.125340909
252,0.150487805,0.227954545
253,0.133231707,0.294090909
254,0.129146341,0.307954545
255,0.127865854,0.266363636
256,0.117378049,0.205113636
257,0.105121951,0.103977273
258,0.092073171,0.016136364
259,0.103536585,0
260,0.106585366,0
261,0.110914634,0
262,0.118231707,0
263,0.12097561,0
264,0.130304878,0
265,0.136890244,0
266,0.139939024,0
267,0.137743902,0
268,0.134329268,0
269,0.138719512,0
270,0.13152439,0
271,0.140853659,0
272,0.144756098,0
273,0.147378049,0.000454545
274,0.156097561,0.030340909
275,0.166829268,0.095340909
276,0.15554878,0.168068182
277,0.139329268,0.195113636
278,0.117743902,0.192159091
279,0.101341463,0.164545455
280,0.097195122,0.115227273
281,0.103780488,0.058181818
282,0.114512195,0.00875
283,0.130792683,0.000113636
284,0.125182927,0
285,0.11097561,0
286,0.100670732,0
287,0.088292683,0
288,0.078658537,0
289,0.066585366,0
290,0.058597561,0
291,0.051036585,0
292,0.04902439,0
293,0.046341463,0
294,0.048658537,0
295,0.051707317,0
296,0.059695122,0
297,0.070182927,0
298,0.074329268,0.008409091
299,0.081829268,0.041704545
300,0.07304878,0.081931818
301,0.06847561,0.107613636
302,0.083780488,0.113068182
303,0.09945122,0.098409091
304,0.11902439,0.077727273
305,0.138292683,0.039090909
306,0.157317073,0.006818182
307,0.173658537,0
308,0.176829268,0
309,0.182743902,0
310,0.182195122,0
311,0.180243902,0
312,0.177073171,0
313,0.16597561,0
314,0.15445122,0
315,0.141402439,0
316,0.133353659,0
317,0.122134146,0
318,0.122012195,0
319,0.126341463,0
320,0.112073171,0
321,0.103902439,0.000113636
322,0.095426829,0.021931818
323,0.095243902,0.082840909
324,0.09152439,0.144772727
325,0.098353659,0.182840909
326,0.116646341,0.179659091
327,0.139268293,0.158181818
328,0.173597561,0.115340909
329,0.209878049,0.049090909
330,0.254268293,0.006590909
331,0.306402439,0
332,0.360853659,0
333,0.40445122,0
334,0.414207317,0
335,0.3925,0
336,0.377317073,0
337,0.360731707,0
338,0.34445122,0
339,0.334207317,0
340,0.319512195,0
341,0.305731707,0
342,0.302804878,0
343,0.266219512,0
344,0.25804878,0
345,0.274085366,0
346,0.258353659,0.009318182
347,0.259695122,0.055113636
348,0.264939024,0.115340909
349,0.271890244,0.161590909
350,0.282439024,0.17625
351,0.279939024,0.173409091
352,0.265792683,0.152727273
353,0.245182927,0.0775
354,0.225670732,0.012159091
355,0.226890244,0.000113636
356,0.207743902,0
357,0.194756098,0
358,0.185243902,0
359,0.163902439,0
360,0.142073171,0
361,0.129634146,0
362,0.115243902,0
363,0.11097561,0
364,0.105487805,0
365,0.104573171,0
366,0.104573171,0
367,0.101585366,0
368,0.100243902,0
369,0.099939024,0.000340909
370,0.097256098,0.014318182
371,0.090243902,0.047045455
372,0.085365854,0.090113636
373,0.086585366,0.124431818
374,0.082012195,0.135454545
375,0.081829268,0.130909091
376,0.083841463,0.090795455
377,0.088231707,0.045681818
378,0.102439024,0.006818182
379,0.123658537,0
380,0.131097561,0
381,0.123292683,0
382,0.118780488,0
383,0.119878049,0
384,0.112987805,0
385,0.110243902,0
386,0.101280488,0
387,0.096707317,0
388,0.104268293,0
389,0.113963415,0
390,0.113170732,0
391,0.112256098,0
392,0.113414634,0
393,0.11,0.000227273
394,0.102621951,0.022613636
395,0.093719512,0.097954545
396,0.089634146,0.186590909
397,0.085792683,0.262727273
398,0.08652439,0.294204545
399,0.091097561,0.272386364
400,0.09195122,0.200681818
401,0.098231707,0.094318182
402,0.104085366,0.015795455
403,0.11152439,0.000113636
404,0.119695122,0
405,0.131158537,0
406,0.138170732,0
407,0.141646341,0
408,0.139268293,0
409,0.137317073,0
410,0.136768293,0
411,0.132865854,0
412,0.127378049,0
413,0.12402439,0
414,0.128719512,0
415,0.140365854,0
416,0.142804878,0
417,0.151707317,0.000681818
418,0.170731707,0.018863636
419,0.172378049,0.056931818
420,0.170792683,0.090454545
421,0.17195122,0.111931818
422,0.187987805,0.113636364
423,0.196036585,0.08625
424,0.203841463,0.059772727
425,0.230792683,0.027159091
426,0.260670732,0.003522727
427,0.271768293,0
428,0.255914634,0
429,0.243597561,0
430,0.238231707,0
431,0.247012195,0
432,0.247987805,0
433,0.226829268,0
434,0.198841463,0
435,0.192560976,0
436,0.218719512,0
437,0.192987805,0
438,0.179146341,0
439,0.177439024,0
440,0.18847561,0
441,0.205426829,0
442,0.20847561,0.003068182
443,0.218719512,0.018181818
444,0.23347561,0.039772727
445,0.252926829,0.055795455
446,0.278963415,0.060681818
447,0.310060976,0.056363636
448,0.347743902,0.038522727
449,0.396402439,0.018409091
450,0.429756098,0.001931818
451,0.445,0
452,0.451341463,0
453,0.444268293,0
454,0.428780488,0
455,0.39695122,0
456,0.354268293,0
457,0.307317073,0
458,0.29847561,0
459,0.269268293,0
460,0.249573171,0
461,0.241219512,0
462,0.238353659,0
463,0.234146341,0
464,0.227804878,0
465,0.213597561,0
466,0.193597561,0.010113636
467,0.174512195,0.035454545
468,0.144573171,0.068636364
469,0.133902439,0.093181818
470,0.130243902,0.09625
471,0.123719512,0.095568182
472,0.123353659,0.078409091
473,0.12945122,0.040681818
474,0.128719512,0.010113636
475,0.12402439,0
476,0.121707317,0
477,0.129817073,0
478,0.140914634,0
479,0.143536585,0
480,0.142256098,0
481,0.148841463,0
482,0.158109756,0
483,0.161280488,0
484,0.161829268,0
485,0.155121951,0
486,0.15695122,0
487,0.174695122,0
488,0.204939024,0
489,0.227560976,0.000227273
490,0.242073171,0.018068182
491,0.254878049,0.072840909
492,0.26304878,0.138295455
493,0.283902439,0.183863636
494,0.293353659,0.207954545
495,0.284512195,0.1975
496,0.267439024,0.144886364
497,0.265060976,0.083068182
498,0.25347561,0.018409091
499,0.23597561,0.000113636
500,0.221219512,0
501,0.200914634,0
502,0.186707317,0
503,0.177804878,0
504,0.169390244,0
505,0.174390244,0
506,0.167439024,0
507,0.160060976,0
508,0.152865854,0
509,0.145426829,0
510,0.140853659,0
511,0.139329268,0
512,0.136585366,0
513,0.148902439,0.000795455
514,0.152012195,0.038863636
515,0.155426829,0.114090909
516,0.156829268,0.1825
517,0.165365854,0.215568182
518,0.183902439,0.209772727
519,0.194634146,0.183863636
520,0.191097561,0.140454545
521,0.211463415,0.075227273
522,0.203231707,0.0125
523,0.203841463,0
524,0.191707317,0
525,0.177439024,0
